Accel_x,Accel_y,Accel_z
0.286,0.628,0.881
0.278,0.626,0.879
0.264,0.62,0.871
0.131,0.614,0.853
0.24,0.611,0.837
0.224,0.605,0.83
0.215,0.599,0.813
0.202,0.594,0.799
0.191,0.589,0.792
0.184,0.59,0.78
0.174,0.59,0.77
0.165,0.593,0.764
0.164,0.592,0.757
0.17,0.592,0.757
0.18,0.592,0.756
0.187,0.593,0.754
0.204,0.597,0.758
0.213,0.6,0.769
0.225,0.6,0.776
0.243,0.61,0.78
0.253,0.62,0.79
0.276,0.621,0.794
0.286,0.623,0.805
0.29,0.629,0.814
0.29,0.63,0.82
0.293,0.636,0.82
0.294,0.643,0.824
0.291,0.646,0.822
0.277,0.648,0.821
0.258,0.655,0.819
0.25,0.66,0.814
0.235,0.666,0.811
0.228,0.671,0.807
0.222,0.673,0.813
0.221,0.675,0.812
0.222,0.674,0.809
0.227,0.673,0.807
0.235,0.671,0.806
0.237,0.671,0.801
0.242,0.668,0.794
0.243,0.655,0.792
0.244,0.651,0.788
0.245,0.645,0.786
0.239,0.639,0.787
0.234,0.638,0.784
0.222,0.636,0.786
0.214,0.635,0.791
-0.344,1.307,0.443
-0.322,1.341,0.465
-0.291,1.39,0.499
-0.284,1.433,0.535
-0.254,1.445,0.573
-0.181,1.49,0.602
-0.146,1.515,0.674
-0.102,1.515,0.734
-0.088,1.506,0.76
-0.088,1.486,0.8
-0.076,1.467,0.824
-0.031,1.422,0.832
0.036,1.369,0.837
0.074,1.338,0.83
0.148,1.279,0.824
0.183,1.225,0.803
0.229,1.197,0.77
0.25,1.142,0.735
0.241,1.081,0.683
0.201,1.048,0.611
0.14,0.971,0.577
0.079,0.881,0.519
0.043,0.821,0.445
0.072,0.731,0.48
0.029,0.677,0.435
0.012,0.646,0.449
-0.038,0.578,0.45
-0.056,0.515,0.472
-0.058,0.495,0.517
-0.049,0.462,0.548
-0.049,0.437,0.615
-0.051,0.427,0.686
-0.042,0.425,0.729
-0.038,0.423,0.8
-0.037,0.443,0.868
-0.02,0.46,0.915
0.005,0.502,0.935
0.019,0.549,0.966
0.042,0.574,0.973
0.044,0.631,0.973
0.047,0.688,0.961
0.051,0.71,0.95
0.061,0.748,0.921
0.069,0.769,0.883
0.093,0.777,0.865
0.132,0.792,0.834
0.157,0.8,0.814
0.197,0.808,0.805
0.217,0.811,0.782
